no;period;age;sampling_weight;german_citizenship;residence_region;household_size;household_income;mainTrip_duration;mainTrip_distance
5122;2004;49;0.517;NA;Former West Germany;3 persons;2945;NA;NA
5123;2009;78;1.42;NA;Former West Germany;2 persons;2403;NA;NA
5124;1978;36;0.36;NA;NA;1 person;1987;6-8 days;157.7178897
5125;1996;75;1.136;NA;Former West Germany;2 persons;2032;9-12 days;178.2125478
5126;2007;27;0.6125;NA;Former West Germany;1 person;1032;6-8 days;2537.395442
5127;2003;79;1.319;NA;Former West Germany;1 person;2664;NA;NA
5128;1987;60;0.67;NA;NA;2 persons;1141;NA;NA
5129;1989;80;1.149;NA;NA;1 person;1109;13-15 days;1056.326755
5130;1985;35;0.77;NA;NA;3 persons;2180;9-12 days;347.3285266
5131;1991;32;0.725;NA;Former West Germany;3 persons;2723;9-12 days;235.8618612
5132;2015;50;0.83;yes;Former West Germany;2 persons;916;30+ days;10023.20637
5133;2009;56;0.69;NA;Former East Germany;2 persons;1272;NA;NA
5134;2006;70;1.0084;NA;Former West Germany;1 person;1944;6-8 days;100
5135;1997;41;0.846;NA;Former West Germany;3 persons;1828;13-15 days;4434.290133
5136;2008;44;0.3884;NA;Former West Germany;2 persons;2716;9-12 days;3778.579423
5137;1996;30;2.1267;NA;Former East Germany;4 persons;3004;9-12 days;452.6369856
5138;1998;31;0.62;NA;Former West Germany;4 persons;1962;30+ days;347.3285266
5139;2003;42;0.847;NA;Former West Germany;4 persons;2978;20-22 days;228.2539869
5140;1982;33;0.39;NA;NA;4 persons;2763;NA;NA
5141;2011;27;0.77;yes;Former West Germany;4 persons;3598;6-8 days;317.153503
5142;2014;78;1.56;yes;Former West Germany;2 persons;2229;NA;NA
5143;2010;39;2.67;yes;Former East Germany;3 persons;2103;13-15 days;205.0128421
5144;1995;61;0.62;NA;Former East Germany;2 persons;1884;13-15 days;421.1260106
5145;2011;69;1.09;yes;Former West Germany;2 persons;2629;NA;NA
5146;1999;34;0.659;NA;Former West Germany;1 person;3230;27-29 days;8123.141154
5147;2011;44;1.22;yes;Former West Germany;4 persons;3598;13-15 days;1658.395853
5148;2007;30;0.5436;NA;Former East Germany;1 person;1032;6-8 days;2237.88242
5149;2015;76;1.06;yes;Former West Germany;1 person;1178;6-8 days;347.3285266
5150;2014;65;0.82;yes;Former West Germany;2 persons;2229;20-22 days;708.0480175
5151;2009;60;0.58;NA;Former West Germany;1 person;1272;13-15 days;1987.066695
5152;2007;42;0.4219;NA;Former West Germany;4 persons;1327;NA;NA
5153;2016;50;0.82;yes;Former West Germany;2 persons;1698;NA;NA
5154;2016;40;0.57;yes;Former East Germany;2 persons;3005;6-8 days;508.4158511
5155;1977;73;0.43;NA;NA;1 person;2055;NA;NA
5156;2003;26;0.66;NA;Former West Germany;1 person;1410;6-8 days;100
5157;2004;49;0.448;NA;Former East Germany;3 persons;3564;20-22 days;37.80992062
5158;1994;17;1.524;NA;Former West Germany;4 persons;11027;13-15 days;100
5159;1981;35;0.086;NA;NA;3 persons;2546;NA;NA
5160;1992;27;1.771;NA;Former West Germany;3 persons;2971;20-22 days;1658.101316
5161;1987;73;1.29;NA;NA;2 persons;1141;13-15 days;719.5371174
5162;1985;48;1.535;NA;NA;3 persons;4360;20-22 days;719.5371174
5163;1997;20;1.595;NA;Former West Germany;4 persons;5572;20-22 days;337.7000277
5164;1994;64;0.555;NA;Former East Germany;1 person;1378;20-22 days;201.0340788
5165;2007;24;2.8931;NA;Former West Germany;3 persons;737;27-29 days;764.487597
5166;1984;40;0.958;NA;NA;3 persons;2573;13-15 days;1172.773873
5167;2018;70;1.08;yes;Former West Germany;2 persons;7617;9-12 days;1987.066695
5168;2017;29;0.78;no;Former West Germany;3 persons;2703;20-22 days;2176.565769
5169;1986;22;0.691;NA;NA;1 person;1242;NA;NA
5170;2002;28;0.58;NA;Former West Germany;3 persons;3011;20-22 days;1840.842726
5171;2018;32;1.88;yes;Former West Germany;3 persons;2793;9-12 days;4095.709807
5172;2009;23;3.06;NA;Former West Germany;3 persons;3674;9-12 days;708.0480175
5173;1996;65;1.4508;NA;Former West Germany;2 persons;3358;20-22 days;1520.338286
5174;2002;66;0.66;NA;Former West Germany;1 person;1743;NA;NA
5175;1986;57;0.703;NA;NA;2 persons;1694;13-15 days;511.1772998
5176;1998;30;1.06;NA;Former West Germany;3 persons;2559;13-15 days;2537.395442
5177;1980;79;1;NA;NA;3 persons;2687;20-22 days;1658.395853
5178;2007;38;1.1929;NA;Former West Germany;1 person;1917;20-22 days;3347.399568
5179;2005;25;0.5524;NA;Former West Germany;1 person;1668;9-12 days;3004.266422
5180;1977;42;0.76;NA;NA;5+ persons;3477;NA;NA
5181;2002;47;1.13;NA;Former West Germany;3 persons;4755;13-15 days;1658.101316
5182;2011;71;0.71;yes;Former West Germany;2 persons;2076;16-19 days;741.9473922
5183;1982;61;0.58;NA;NA;2 persons;2135;NA;NA
5184;1991;30;0.307;NA;Former West Germany;2 persons;3142;NA;NA
5185;1985;70;1.454;NA;NA;1 person;1262;6-8 days;253.8550183
5186;2012;71;0.88;yes;Former West Germany;2 persons;3528;30+ days;7717.287126
5187;1988;68;1.093;NA;NA;2 persons;1581;NA;NA
5188;1971;61;NA;NA;NA;1 person;1238;30+ days;1658.101316
5189;2003;27;0.577;NA;Former West Germany;2 persons;4075;13-15 days;1658.101316
5190;2012;44;0.51;yes;Former West Germany;1 person;1493;6-8 days;170.6002629
5191;2014;41;1.16;yes;Former West Germany;2 persons;3409;13-15 days;2537.395442
5192;1980;41;2;NA;NA;2 persons;2687;NA;NA
5193;1996;22;1.3395;NA;Former West Germany;4 persons;795;9-12 days;236.9564795
5194;1997;30;0.849;NA;Former West Germany;1 person;2264;13-15 days;1676.688589
5195;2001;49;0.9;NA;Former East Germany;2 persons;329;NA;NA
5196;1999;23;1.776;NA;Former West Germany;4 persons;5439;NA;NA
5197;1991;33;0.832;NA;Former West Germany;4 persons;2304;13-15 days;1391.414448
5198;2006;49;1.0603;NA;Former West Germany;4 persons;3140;13-15 days;393.382901
5199;1983;78;1.018;NA;NA;1 person;2643;NA;NA
5200;2014;23;2.47;yes;Former East Germany;5+ persons;3015;9-12 days;449.8819799
5201;1984;78;0.688;NA;NA;1 person;819;NA;NA
5202;2016;79;1.15;yes;Former West Germany;1 person;653;NA;NA
5203;2016;53;1.38;yes;Former West Germany;2 persons;3396;NA;NA
5204;1989;61;0.838;NA;NA;2 persons;1552;NA;NA
5205;1981;89;0.129;NA;NA;1 person;1206;NA;NA
5206;1981;46;0.062;NA;NA;1 person;3484;NA;NA
5207;2003;62;0.491;NA;Former West Germany;1 person;1724;NA;NA
5208;2016;58;1.12;yes;Former West Germany;2 persons;7838;13-15 days;1300.963428
5209;2005;45;0.5833;NA;Former East Germany;1 person;1061;9-12 days;415.1992854
5210;2015;62;0.55;yes;Former West Germany;1 person;2486;13-15 days;2537.985167
5211;1971;35;NA;NA;NA;3 persons;4199;NA;NA
5212;2018;40;0.64;yes;Former West Germany;3 persons;1904;NA;NA
5213;1984;37;0.673;NA;NA;3 persons;3041;NA;NA
5214;1993;34;0.66;NA;Former West Germany;4 persons;3642;20-22 days;719.5371174
5215;2006;39;0.4148;NA;Former West Germany;4 persons;3439;13-15 days;581.1701595
5216;1972;33;NA;NA;NA;5+ persons;1887;NA;NA
5217;2003;54;0.091;NA;Former East Germany;2 persons;2037;27-29 days;9669.01433
5218;2013;26;1.45;yes;Former East Germany;2 persons;665;NA;NA
5219;2014;45;1.86;yes;Former East Germany;3 persons;1967;9-12 days;772.7933479
5220;2014;44;0.52;yes;Former West Germany;1 person;1704;NA;NA
5221;2016;60;0.52;yes;Former East Germany;2 persons;3005;6-8 days;926.9731537
5222;1971;37;NA;NA;NA;2 persons;1989;13-15 days;150
5223;1989;52;0.898;NA;NA;2 persons;2883;NA;NA
5224;2008;35;0.9777;NA;Former West Germany;1 person;1858;9-12 days;719.5371174
5225;1981;50;0.061;NA;NA;1 person;3484;NA;NA
5226;1998;31;0.71;NA;Former West Germany;1 person;938;NA;NA
5227;2011;70;0.62;yes;Former West Germany;2 persons;3183;13-15 days;1658.101316
5228;1980;34;1;NA;NA;5+ persons;2121;NA;NA
5229;2005;82;1.4138;NA;Former West Germany;1 person;1364;NA;NA
5230;1972;27;NA;NA;NA;4 persons;2726;13-15 days;338.3876876
5231;2005;49;1.7385;NA;Former East Germany;4 persons;2881;NA;NA
5232;2007;32;1.0098;NA;Former West Germany;2 persons;1327;6-8 days;150
5233;2010;31;0.69;yes;Former West Germany;3 persons;3224;13-15 days;928.5913443
5234;1989;56;0.631;NA;NA;2 persons;2439;NA;NA
5235;2003;22;0.681;NA;Former East Germany;1 person;784;NA;NA
5236;1980;60;1;NA;NA;2 persons;3111;6-8 days;100
5237;1998;33;0.94;NA;Former East Germany;3 persons;1621;NA;NA
5238;2004;47;0.444;NA;Former West Germany;2 persons;4649;13-15 days;1840.842726
5239;1977;62;1.38;NA;NA;3 persons;2687;27-29 days;741.9473922
5240;2005;24;0.8481;NA;Former West Germany;1 person;1061;9-12 days;183.7680339
5241;1984;14;2.178;NA;NA;4 persons;2222;NA;NA
5242;2005;73;0.6801;NA;Former West Germany;1 person;1971;NA;NA
5243;1976;15;1.08;NA;NA;4 persons;1803;13-15 days;208.3009758
5244;2007;38;1.2407;NA;Former West Germany;5+ persons;3391;13-15 days;157.7178897
5245;2010;67;0.66;yes;Former West Germany;1 person;1262;6-8 days;472.6725418
5246;2006;77;1.1515;NA;Former West Germany;1 person;1047;13-15 days;157.7178897
5247;1991;42;0.45;NA;Former West Germany;1 person;1466;NA;NA
5248;2008;21;1.6733;NA;Former West Germany;3 persons;4288;6-8 days;449.8819799
5249;2017;54;1.01;yes;Former West Germany;2 persons;7722;13-15 days;627.9537164
5250;2006;25;0.7951;NA;Former West Germany;1 person;1047;6-8 days;548.1162166
5251;1974;39;1.29;NA;NA;2 persons;1315;20-22 days;1099.622262
5252;2009;42;0.56;NA;Former West Germany;1 person;1555;6-8 days;624.784942
5253;2009;72;1.82;NA;Former West Germany;2 persons;1272;NA;NA
5254;1987;31;0.81;NA;NA;2 persons;4336;13-15 days;627.9537164
5255;2016;49;1.54;yes;Former East Germany;4 persons;3005;13-15 days;958.8951777
5256;1990;43;0.777;NA;Former West Germany;4 persons;5595;13-15 days;157.7178897
5257;2004;73;4.412;NA;Former East Germany;4 persons;4029;13-15 days;1238.175141
5258;2007;40;0.4436;NA;Former West Germany;1 person;1327;NA;NA
5259;2003;53;0.428;NA;Former West Germany;1 person;3604;27-29 days;9617.047592
5260;2017;36;1.87;yes;Former West Germany;4 persons;7722;20-22 days;958.0858802
5261;1996;19;1.5396;NA;Former West Germany;5+ persons;3004;NA;NA
5262;2016;78;1.49;yes;Former West Germany;2 persons;3396;16-19 days;224.3538975
5263;1996;16;2.4192;NA;Former East Germany;4 persons;10603;13-15 days;1926.336994
5264;2004;42;1.475;NA;Former West Germany;4 persons;2325;13-15 days;1071.706675
5265;2018;82;2.62;no;Former West Germany;1 person;889;NA;NA
5266;1979;66;0.71;NA;NA;1 person;745;NA;NA
5267;1995;32;0.633;NA;Former West Germany;1 person;2063;13-15 days;719.5371174
5268;2012;60;0.57;yes;Former West Germany;1 person;1493;6-8 days;472.6725418
5269;1993;64;0.93;NA;Former West Germany;1 person;2013;9-12 days;68.32616479
5270;1988;27;1.066;NA;NA;3 persons;3389;20-22 days;1658.101316
5271;1998;67;1;NA;Former West Germany;1 person;2218;9-12 days;337.7000277
5272;2000;49;0.908;NA;Former East Germany;2 persons;2520;20-22 days;255.3425797
5273;1996;33;0.814;NA;Former West Germany;4 persons;3888;13-15 days;870.3137267
5274;2010;62;0.58;yes;Former West Germany;1 person;1822;NA;NA
5275;1974;34;1.13;NA;NA;4 persons;2740;20-22 days;347.3285266
5276;2006;65;1.1871;NA;Former West Germany;2 persons;1346;NA;NA
5277;1991;25;2.387;NA;Former West Germany;4 persons;3142;13-15 days;1676.688589
5278;2000;63;1.096;NA;Former West Germany;2 persons;2520;13-15 days;368.9936012
5279;1984;27;1.303;NA;NA;4 persons;2573;NA;NA
5280;1979;17;1.3;NA;NA;5+ persons;3279;16-19 days;488.2070139
5281;1971;16;NA;NA;NA;3 persons;1989;NA;NA
5282;2005;80;2.0443;NA;Former East Germany;2 persons;2881;13-15 days;632.0057477
5283;1972;31;NA;NA;NA;3 persons;2306;NA;NA
5284;1991;14;4.469;NA;Former West Germany;3 persons;3142;9-12 days;1520.338286
5285;1983;80;1.591;NA;NA;2 persons;2283;NA;NA
5286;1998;38;0.68;NA;Former West Germany;4 persons;2900;13-15 days;168.2412991
5287;2006;57;5.4454;NA;Former West Germany;5+ persons;1645;NA;NA
5288;2009;64;0.53;NA;Former West Germany;1 person;1837;13-15 days;1101.307373
5289;2016;58;0.68;yes;Former West Germany;2 persons;3396;9-12 days;501.3320946
5290;1975;37;1.16;NA;NA;2 persons;7256;13-15 days;2849.554782
5291;2007;50;0.6655;NA;Former West Germany;4 persons;3391;20-22 days;472.6725418
5292;1993;22;0.462;NA;Former West Germany;1 person;1629;13-15 days;1658.101316
5293;1997;59;0.918;NA;Former East Germany;2 persons;2002;16-19 days;1901.011312
5294;1994;27;0.7;NA;Former West Germany;3 persons;4043;6-8 days;235.8618612
5295;2010;29;3.06;yes;Former East Germany;4 persons;8411;23-26 days;7961.796626
5296;1997;56;1.811;NA;Former West Germany;3 persons;2264;13-15 days;1658.101316
5297;1995;59;0.755;NA;Former West Germany;2 persons;1525;13-15 days;427.6617759
5298;1999;48;0.473;NA;Former West Germany;1 person;1275;30+ days;2537.395442
5299;1987;32;0.68;NA;NA;2 persons;2510;20-22 days;401.7081103
5300;2017;39;1.67;yes;Former West Germany;3 persons;7722;13-15 days;1849.18562
5301;2017;32;0.8;no;Former West Germany;1 person;1416;20-22 days;1244.193207
5302;1990;64;0.631;NA;Former West Germany;2 persons;1506;NA;NA
5303;1982;49;0.86;NA;NA;4 persons;4270;NA;NA
5304;1991;78;1.171;NA;Former East Germany;2 persons;1885;13-15 days;1099.577838
5305;1973;30;NA;NA;NA;2 persons;3745;13-15 days;337.7000277
5306;1984;50;0.424;NA;NA;1 person;1287;6-8 days;393.382901
5307;2010;58;0.57;yes;Former West Germany;2 persons;3224;13-15 days;1658.395853
5308;1989;30;0.566;NA;NA;4 persons;3326;13-15 days;337.7000277
5309;1972;30;NA;NA;NA;2 persons;1510;13-15 days;1056.326755
5310;1994;57;1.164;NA;Former East Germany;2 persons;2389;13-15 days;1044.353838
5311;1994;28;0.998;NA;Former West Germany;2 persons;2389;NA;NA
5312;1989;36;0.996;NA;NA;5+ persons;4213;13-15 days;183.7680339
5313;2015;45;0.76;yes;Former West Germany;4 persons;3402;20-22 days;548.1162166
5314;1979;15;2.8;NA;NA;5+ persons;3876;9-12 days;235.8618612
5315;1999;49;0.714;NA;Former West Germany;3 persons;2550;6-8 days;235.8618612
5316;1980;58;1;NA;NA;2 persons;3111;NA;NA
5317;2017;51;0.68;yes;Former West Germany;2 persons;2960;NA;NA
5318;1997;39;1.175;NA;Former East Germany;3 persons;2960;9-12 days;150.045148
5319;1983;25;0.247;NA;NA;1 person;1321;20-22 days;6663.584987
5320;1999;45;0.468;NA;Former West Germany;2 persons;2550;13-15 days;157.7178897
5321;1988;68;1.007;NA;NA;2 persons;1581;20-22 days;797.6021922
5322;2018;38;0.57;yes;Former West Germany;4 persons;3301;13-15 days;493.3842402
5323;1971;58;NA;NA;NA;2 persons;1989;9-12 days;548.1162166
5324;1984;55;0.855;NA;NA;2 persons;4445;NA;NA
5325;2009;83;1.35;NA;Former West Germany;2 persons;8480;13-15 days;501.3878591
5326;1993;21;1.155;NA;Former West Germany;3 persons;1054;NA;NA
5327;1977;55;0.52;NA;NA;2 persons;4110;NA;NA
5328;2014;26;0.79;yes;Former East Germany;1 person;1180;13-15 days;322.1162603
5329;1983;52;0.818;NA;NA;2 persons;1562;NA;NA
5330;2010;57;0.69;yes;Former West Germany;2 persons;2944;20-22 days;928.5913443
5331;2002;43;0.93;NA;Former West Germany;3 persons;9510;13-15 days;1829.885564
5332;1999;35;0.666;NA;Former West Germany;4 persons;3740;20-22 days;337.7000277
5333;1972;52;NA;NA;NA;2 persons;3145;13-15 days;719.5371174
5334;2012;31;0.54;yes;Former West Germany;2 persons;1493;NA;NA
5335;2002;67;0.62;NA;Former East Germany;1 person;792;6-8 days;100
5336;2010;32;0.81;yes;Former West Germany;4 persons;2664;20-22 days;337.7000277
5337;2004;53;0.718;NA;Former West Germany;1 person;1705;9-12 days;427.5495156
5338;1997;74;1.225;NA;Former East Germany;1 person;958;13-15 days;322.1162603
5339;2005;88;1.8498;NA;Former West Germany;2 persons;1668;NA;NA
5340;1974;24;0.59;NA;NA;2 persons;3105;NA;NA
5341;1999;75;1.156;NA;Former East Germany;2 persons;1615;9-12 days;170.2584654
5342;2012;38;1;yes;Former West Germany;4 persons;3121;NA;NA
5343;1993;23;0.818;NA;Former West Germany;2 persons;1629;20-22 days;1840.842726
5344;2009;81;0.59;NA;Former West Germany;1 person;1272;NA;NA
5345;1989;40;0.98;NA;NA;3 persons;2883;NA;NA
5346;2014;56;0.66;yes;Former West Germany;1 person;1180;13-15 days;393.382901
5347;1998;49;1.72;NA;Former East Germany;4 persons;2900;NA;NA
5348;2010;55;0.78;yes;Former East Germany;1 person;1822;NA;NA
5349;1989;54;1.702;NA;NA;3 persons;2883;9-12 days;347.3285266
5350;1985;59;1.497;NA;NA;3 persons;1721;NA;NA
5351;1980;26;1;NA;NA;1 person;2121;20-22 days;1645.920315
5352;1978;61;1.16;NA;NA;2 persons;1681;NA;NA
5353;1986;18;2.09;NA;NA;3 persons;2485;20-22 days;421.1260106
5354;2007;42;0.8178;NA;Former West Germany;3 persons;3391;9-12 days;1520.338286
5355;1988;62;0.468;NA;NA;2 persons;2033;13-15 days;1195.580437
5356;2007;42;0.8854;NA;Former East Germany;3 persons;5308;13-15 days;545.694202
5357;1975;33;0.48;NA;NA;1 person;3801;NA;NA
5358;1977;35;0.41;NA;NA;1 person;2687;30+ days;7361.521629
5359;1981;34;0.048;NA;NA;3 persons;5092;13-15 days;393.382901
5360;1998;22;0.61;NA;Former West Germany;1 person;1962;13-15 days;758.6469321
5361;2017;46;0.39;yes;Former East Germany;1 person;1158;20-22 days;975.9120091
5362;1985;40;0.913;NA;NA;3 persons;2983;NA;NA
5363;2009;21;0.53;NA;Former West Germany;2 persons;1837;16-19 days;2878.817215
5364;1982;31;0.29;NA;NA;4 persons;2135;NA;NA
5365;2018;52;0.77;no;Former East Germany;1 person;1650;9-12 days;1425.280738
5366;2007;25;1.0402;NA;Former West Germany;2 persons;2802;NA;NA
5367;1998;32;0.86;NA;Former West Germany;4 persons;2900;20-22 days;1658.101316
5368;2004;46;0.636;NA;Former West Germany;1 person;1085;20-22 days;2176.565769
5369;1978;29;1.5;NA;NA;3 persons;2598;6-8 days;531.3350849
5370;1985;48;2.585;NA;NA;3 persons;2524;13-15 days;343.8323664
5371;1990;54;0.306;NA;Former West Germany;4 persons;5595;20-22 days;758.6469321
5372;2010;55;0.58;yes;Former West Germany;1 person;2383;13-15 days;7412.040551
5373;2008;47;1.3975;NA;Former East Germany;1 person;429;6-8 days;145.494925
5374;2004;49;0.656;NA;Former East Germany;3 persons;1395;NA;NA
5375;2013;50;1.31;yes;Former West Germany;3 persons;3989;13-15 days;1920.76694
5376;2001;61;1.26;NA;Former West Germany;2 persons;2141;13-15 days;196.9422405
5377;1993;44;1.854;NA;Former West Germany;3 persons;3642;13-15 days;347.3285266
5378;1985;31;0.445;NA;NA;1 person;1950;13-15 days;1512.359232
5379;2008;44;0.5776;NA;Former East Germany;2 persons;3001;9-12 days;189.4661186
5380;2002;53;1.28;NA;Former West Germany;2 persons;1743;6-8 days;235.8618612
5381;2017;67;0.95;yes;Former West Germany;2 persons;1673;NA;NA
5382;1990;30;0.376;NA;Former West Germany;3 persons;2367;16-19 days;1658.101316
5383;1997;21;0.394;NA;Former West Germany;2 persons;784;NA;NA
5384;1993;42;1.536;NA;Former West Germany;4 persons;3642;13-15 days;1056.326755
5385;1999;31;1.134;NA;Former East Germany;4 persons;2890;13-15 days;607.1658781
5386;1995;32;0.548;NA;Former West Germany;4 persons;2332;13-15 days;347.3285266
5387;1988;59;0.751;NA;NA;1 person;1130;16-19 days;779.8075718
5388;2000;60;0.682;NA;Former West Germany;1 person;1260;9-12 days;911.5006441
5389;1987;30;0.79;NA;NA;3 persons;1597;NA;NA
5390;1975;33;0.68;NA;NA;3 persons;2591;13-15 days;178.2125478
5391;2016;23;1.12;no;Former West Germany;2 persons;2482;20-22 days;1056.326755
5392;2012;53;0.96;yes;Former West Germany;3 persons;2578;NA;NA
5393;1977;38;0.46;NA;NA;4 persons;2371;NA;NA
5394;1988;47;0.854;NA;NA;2 persons;3840;27-29 days;100
5395;2012;72;1.42;yes;Former East Germany;2 persons;2035;5 days;627.9594438
5396;2018;37;0.78;yes;Former West Germany;1 person;1143;NA;NA
5397;2006;54;0.5806;NA;Former West Germany;1 person;1645;13-15 days;170.6002629
5398;1999;29;1.058;NA;Former West Germany;2 persons;3740;6-8 days;3037.515341
5399;1995;22;1.098;NA;Former West Germany;2 persons;2691;6-8 days;100
5400;2004;62;1.167;NA;Former West Germany;2 persons;2015;30+ days;801.3292216
5401;2008;37;1.1149;NA;Former West Germany;4 persons;2716;6-8 days;235.8618612
5402;2010;42;0.61;yes;Former West Germany;2 persons;2944;13-15 days;993.2756648
5403;1991;21;1.671;NA;Former East Germany;4 persons;1466;6-8 days;923.6270613
5404;1981;22;0.622;NA;NA;5+ persons;2948;13-15 days;462.9641663
5405;1975;25;0.72;NA;NA;2 persons;1900;20-22 days;1031.103699
5406;1998;32;1.04;NA;Former East Germany;3 persons;2559;13-15 days;1922.847898
5407;1980;60;2;NA;NA;2 persons;2687;NA;NA
5408;1990;50;0.502;NA;Former West Germany;1 person;2367;NA;NA
5409;1982;62;0.58;NA;NA;2 persons;2135;NA;NA
5410;1976;36;0.58;NA;NA;5+ persons;2131;13-15 days;224.3538975
5411;1980;41;1;NA;NA;2 persons;2687;NA;NA
5412;1998;44;0.72;NA;Former West Germany;2 persons;2559;NA;NA
5413;2017;70;0.81;yes;Former East Germany;1 person;1158;NA;NA
5414;2015;66;0.84;yes;Former West Germany;2 persons;1963;NA;NA
5415;2006;44;0.763;NA;Former West Germany;3 persons;3887;20-22 days;2176.565769
5416;2012;64;0.54;yes;Former West Germany;1 person;1764;13-15 days;1056.326755
5417;1985;35;0.362;NA;NA;3 persons;3442;13-15 days;1840.842726
5418;1986;48;0.989;NA;NA;4 persons;2937;9-12 days;488.2070139
5419;2012;54;1.35;yes;Former East Germany;3 persons;1493;5 days;473.0602607
5420;1980;53;1;NA;NA;3 persons;4243;9-12 days;337.7000277
5421;2012;66;0.85;yes;Former West Germany;2 persons;3528;13-15 days;1658.101316
5422;1974;50;1.03;NA;NA;3 persons;3105;NA;NA
5423;1980;83;1;NA;NA;1 person;2687;20-22 days;183.7680339
5424;1988;50;0.471;NA;NA;1 person;4292;13-15 days;627.9537164
5425;2016;83;1.58;yes;Former West Germany;2 persons;2482;13-15 days;183.7680339
5426;2011;32;0.45;no;Former West Germany;1 person;2076;13-15 days;693.169574
5427;2015;58;0.5;yes;Former West Germany;1 person;1963;13-15 days;337.7000277
5428;2013;68;0.56;yes;Former West Germany;1 person;931;6-8 days;708.0480175
5429;2016;65;0.71;yes;Former East Germany;2 persons;2221;6-8 days;417.9720311
5430;2017;39;1.31;no;Former West Germany;1 person;644;NA;NA
5431;1985;79;1.845;NA;NA;2 persons;1721;NA;NA
5432;1989;47;1.431;NA;NA;3 persons;10643;20-22 days;183.7680339
5433;2010;38;0.42;yes;Former West Germany;3 persons;1262;6-8 days;100
5434;2013;64;0.75;yes;Former East Germany;2 persons;3058;13-15 days;272.9243813
5435;2009;82;1.59;NA;Former East Germany;3 persons;2685;NA;NA
5436;2017;30;1.36;yes;Former West Germany;2 persons;3861;6-8 days;168.2412991
5437;2016;64;1.31;yes;Former West Germany;2 persons;3919;23-26 days;8878.825996
5438;2011;79;1.32;yes;Former East Germany;1 person;969;NA;NA
5439;2009;44;2.36;NA;Former West Germany;4 persons;2403;NA;NA
5440;2015;56;0.63;yes;Former West Germany;1 person;2486;9-12 days;531.3350849
5441;1998;70;0.88;NA;Former East Germany;2 persons;3753;NA;NA
5442;2015;58;1.11;yes;Former West Germany;2 persons;1963;13-15 days;2537.395442
5443;1998;41;0.87;NA;Former East Germany;4 persons;3241;NA;NA
5444;1975;34;1;NA;NA;4 persons;2591;20-22 days;1658.101316
5445;1982;30;0.58;NA;NA;1 person;1382;NA;NA
5446;2015;34;0.81;yes;Former West Germany;3 persons;3402;9-12 days;958.0858802
5447;2018;27;0.81;yes;Former West Germany;3 persons;3808;NA;NA
5448;1993;43;0.474;NA;Former West Germany;2 persons;3259;13-15 days;1056.326755
5449;1995;56;1.15;NA;Former East Germany;4 persons;3050;13-15 days;2026.43698
5450;2007;29;0.6606;NA;Former West Germany;4 persons;3097;6-8 days;317.153503
5451;1987;60;0.69;NA;NA;2 persons;2966;NA;NA
5452;2012;59;0.8;yes;Former West Germany;2 persons;2307;13-15 days;100
5453;2016;19;0.36;yes;Former West Germany;1 person;1176;NA;NA
5454;1980;37;1;NA;NA;3 persons;4243;20-22 days;719.5371174
5455;2006;67;0.9808;NA;Former West Germany;1 person;1047;NA;NA
5456;2009;26;0.77;NA;Former West Germany;1 person;1555;NA;NA
5457;2002;44;0.54;NA;Former West Germany;3 persons;4755;NA;NA
5458;2005;66;0.0227;NA;Former East Germany;2 persons;1971;9-12 days;473.0602607
5459;2002;28;0.58;NA;Former West Germany;1 person;1743;13-15 days;1056.326755
5460;2017;63;0.15;yes;Former East Germany;2 persons;2960;NA;NA
5461;2018;65;0.61;yes;Former West Germany;2 persons;3301;20-22 days;9808.801579
5462;2010;54;0.66;yes;Former West Germany;1 person;1262;6-8 days;2404.790234
5463;1989;40;1.402;NA;NA;4 persons;1996;27-29 days;8802.484976
5464;1998;56;0.92;NA;Former West Germany;2 persons;5459;6-8 days;1658.101316
5465;2003;38;0.632;NA;Former West Germany;1 person;1724;NA;NA
5466;1985;25;0.671;NA;NA;2 persons;2983;NA;NA
5467;1977;59;1.16;NA;NA;2 persons;885;NA;NA
5468;1977;59;0.76;NA;NA;2 persons;1739;NA;NA
5469;1998;30;0.46;NA;Former West Germany;4 persons;2559;13-15 days;1642.291852
5470;1981;64;0.077;NA;NA;2 persons;2948;27-29 days;338.3876876
5471;1987;15;1.93;NA;NA;4 persons;3879;NA;NA
5472;1998;69;0.96;NA;Former East Germany;2 persons;1791;9-12 days;150.045148
5473;1998;24;0.73;NA;Former West Germany;1 person;1621;20-22 days;1645.920315
5474;1986;80;0.987;NA;NA;1 person;791;9-12 days;100
5475;2005;75;0.8193;NA;Former East Germany;1 person;1971;13-15 days;1099.622262
5476;2009;41;0.78;NA;Former West Germany;2 persons;4240;13-15 days;1658.101316
5477;2017;56;0.51;yes;Former West Germany;2 persons;2703;9-12 days;248.335027
5478;2016;58;0.87;yes;Former East Germany;2 persons;2221;13-15 days;322.1162603
5479;2011;48;0.99;yes;Former East Germany;1 person;969;9-12 days;410.9930231
5480;2000;54;0.761;NA;Former West Germany;1 person;1428;6-8 days;928.5913443
5481;1977;58;0.39;NA;NA;1 person;885;NA;NA
5482;2000;56;1.779;NA;Former West Germany;3 persons;5375;NA;NA
5483;2010;39;0.65;yes;Former West Germany;1 person;1262;9-12 days;2537.985167
5484;2009;53;0.72;NA;Former West Germany;1 person;1555;13-15 days;236.9564795
5485;2012;51;0.84;yes;Former East Germany;2 persons;1221;NA;NA
